date,"1호선
설화명곡
(1_1_total_kwh)","1호선
월배기지
(1_2_total_kwh)","1호선
서부정류장
(1_3_total_kwh)","1호선
반월당
(1_4_total_kwh)","1호선
신천
(1_5_total_kwh)","1호선
방촌
(1_6_total_kwh)","1호선
안심
(1_7_total_kwh)","2호선
문양기지
(2_1_total_kwh)","2호선
대실
(2_2_total_kwh)","2호선
성서산단
(2_3_total_kwh)","2호선
죽전
(2_4_total_kwh)","2호선
반고개
(2_5_total_kwh)","2호선
대구은행
(2_6_total_kwh)","2호선
만촌
(2_7_total_kwh)","2호선
대공원
(2_8_total_kwh)","2호선
사월
(2_9_total_kwh)","2호선
영남대
(2_10_total_kwh)","3호선
칠곡기지
(3_1_total_kwh)","3호선
팔달시장
(3_2_total_kwh)","3호선
남산
(3_3_total_kwh)","3호선
범물기지
(3_4_total_kwh)","1호선
설화명곡
(1_1_peak_kw)","1호선
월배기지
(1_2_peak_kw)","1호선
서부정류장
(1_3_peak_kw)","1호선
반월당
(1_4_peak_kw)","1호선
신천
(1_5_peak_kw)","1호선
방촌
(1_6_peak_kw)","1호선
안심
(1_7_peak_kw)","2호선
문양기지
(2_1_peak_kw)","2호선
대실
(2_2_peak_kw)","2호선
성서산단
(2_3_peak_kw)","2호선
죽전
(2_4_peak_kw)","2호선
반고개
(2_5_peak_kw)","2호선
대구은행
(2_6_peak_kw)","2호선
만촌
(2_7_peak_kw)","2호선
대공원
(2_8_peak_kw)","2호선
사월
(2_9_peak_kw)","2호선
영남대
(2_10_peak_kw)","3호선
칠곡기지
(3_1_peak_kw)","3호선
팔달시장
(3_2_peak_kw)","3호선
남산
(3_3_peak_kw)","3호선
범물기지
(3_4_peak_kw)","휴일
(is_holiday)","승객수
(passengers)"
2023-11-05,15247,44848,42412,23144,28222,26345,43604,21883,8977,23866,22219,29512,19126,17209,19833,22663,15479,20596,18943,25223,16266,935,2496,2640,1561,1972,1745,2490,1274,588,1406,1478,1831,1248,1260,1490,1473,1006,1218,1267,1584,1040,1,127098
2023-11-06,17155,50912,39869,24943,30722,29220,44765,21940,8972,33364,160,47716,20605,17926,20204,23884,15860,21396,20709,27440,16431,1127,3355,2695,1603,2148,2131,2799,1394,664,2222,358,3374,1551,1416,1553,1866,1042,1377,1420,1693,1068,0,171538
2023-11-07,15744,52021,39938,24324,31336,27188,47030,23729,8764,29386,0,50636,20680,17480,21574,23397,15808,21786,20959,27374,16665,970,3182,2981,1670,2131,1955,2826,1500,655,2028,0,3346,1457,1404,1603,1933,1106,1328,1503,1725,1060,0,179516
2023-11-08,13905,53678,37694,25118,27690,28446,48763,23912,9070,26312,23672,32148,21660,18673,19407,25810,14852,25408,21178,27303,18147,950,3096,2849,1791,2070,1912,2851,1529,612,1769,1589,2148,1461,1430,1253,1797,1056,1572,1526,1722,1256,0,182167
2023-11-09,13638,54365,38385,25611,31139,27339,48539,22803,9917,25885,24314,31753,21729,18219,20405,25565,15106,25110,18436,26016,17497,941,3223,2866,1657,2181,1908,2882,1426,737,1798,1680,2018,1519,1397,1582,1770,991,1535,1472,1676,1120,0,181541
2023-11-10,14293,51487,38458,24629,29787,27863,46237,22961,8831,25470,22608,31900,21885,16279,22261,24040,14629,23587,20668,28701,16055,968,2947,2827,1738,2150,1960,2824,1373,607,1718,1495,2081,1484,1378,1558,1774,1090,1483,1492,1786,1043,0,192513
2023-11-11,16092,51526,35558,25040,28580,26540,51193,24950,8260,26928,20489,31535,19404,17069,20168,25115,14576,27148,21114,27768,18029,960,2926,2398,1688,2074,1908,2769,1459,526,1682,1464,1918,1273,1306,1423,1647,1063,1431,1480,1656,1166,1,175696
2023-11-12,15138,49709,32783,24657,27940,25290,51324,24606,8460,23926,21061,30914,19986,15466,20911,22703,14957,29371,19536,28143,17987,1031,2914,2033,1565,1989,1818,2915,1543,541,1438,1649,1838,1258,1042,1373,1396,1025,1541,1408,1714,1115,1,128763
2023-11-13,13891,57108,37878,25311,28858,28150,51737,26741,8731,27221,23999,29758,22716,17709,21490,22867,16093,29799,22486,26403,21655,1020,3422,3218,1692,2035,2022,2945,1565,609,1891,1586,2009,1490,1411,1452,1918,1176,1679,1587,1849,1408,0,177589
2023-11-14,13454,57104,38671,22547,29280,28494,46594,26330,8933,25213,23364,31289,21773,17650,19832,21580,15667,29055,21606,28494,19500,935,3432,3161,1818,2114,1980,2796,1531,716,2054,2021,2088,1862,1445,1478,1542,1238,1627,1607,1901,1348,0,179314
2023-11-15,16273,54425,36548,23736,30219,26883,50100,26111,9981,27322,24178,31039,21887,20257,20833,22700,17164,31375,20022,25681,20978,1135,3629,2671,1647,2029,1766,3036,1675,684,2201,1723,2357,1584,1658,1358,1663,1325,1797,1725,1812,1299,0,185877
2023-11-16,15076,57248,42596,23228,31577,27929,52121,27764,10490,28402,26168,34219,24230,20816,22376,22834,18832,30495,22365,26888,21284,1010,3482,3130,1686,2049,2137,2943,1514,739,1860,1728,2196,1811,1615,1495,1645,1229,1826,1751,1837,1371,0,176519
2023-11-17,16230,52301,41037,24359,24672,31447,46932,26417,9484,25951,24782,30648,23921,18248,20982,23169,16877,30519,21648,27140,20925,1083,3245,3295,1676,1993,2415,2807,1493,660,1812,1682,1973,1584,1692,1522,1836,1373,1731,1613,1846,1405,0,196268
2023-11-18,16764,53543,39430,24097,22704,30165,51994,30431,9746,25688,22198,32050,21651,18014,19636,25622,16199,29544,22645,30804,18564,1179,3065,2527,1478,1567,2164,2867,1668,637,1726,1421,2016,1538,1195,1409,1859,1073,1521,1457,1693,1017,1,170240
2023-11-19,14255,52241,34565,25582,21137,28068,48264,29979,9371,22577,22428,31469,20286,17184,20096,23680,15917,29381,18500,29254,17101,912,2952,2290,1594,1352,1987,2796,1493,589,1582,1538,1841,1430,1118,1349,1511,1102,1745,1328,1688,927,1,129779
2023-11-20,14667,50657,41139,24319,24080,30669,47646,25607,9184,24752,28035,29707,22080,21768,18914,24686,16163,30407,19184,27702,19104,1021,3348,3192,1878,1674,2172,2984,1558,649,1824,2201,1858,1793,1488,1325,1741,1109,1783,1498,1768,1348,0,180330
2023-11-21,15230,56309,38720,26285,23132,29962,50568,30392,9474,25328,27079,30802,22872,22620,20423,22928,17327,31707,20123,27104,20166,1098,3775,2842,1836,1678,2244,3078,1730,580,1956,1831,2184,1596,1697,1373,1670,1258,1656,1598,1777,1385,0,185715
2023-11-22,16125,55702,37294,27457,23044,29400,50492,27029,9630,26882,29127,226,54027,18911,21941,22662,17293,29867,20217,25500,20580,1135,3523,2933,2024,1630,2141,3145,1603,705,1817,1961,523,4182,1397,1574,1745,1217,1607,1578,1786,1325,0,183842
2023-11-23,14771,54653,38447,27529,22075,31697,44993,24754,9603,26977,25987,0,52730,18422,22289,23184,16993,26217,19310,27106,16927,1094,3326,2789,1822,1682,2296,2832,1462,699,2066,1978,0,3713,1565,1582,1571,1210,1633,1624,1711,1299,0,181889
2023-11-24,15842,56204,41383,25523,22506,29333,54222,27766,9403,25575,26183,29402,24677,18250,20550,22258,17887,30998,22373,27809,20732,1062,3778,3029,1841,1672,2306,3114,1613,666,1963,1898,1978,1713,1303,1361,1538,1274,1725,1630,1835,1403,0,193141
2023-11-25,14246,58030,37946,25237,22271,31380,51927,30559,10126,26082,24598,29434,22518,18002,21040,24513,16851,30860,23262,27413,21706,922,3276,2683,1622,1572,2181,2940,1603,716,1795,1488,1970,1699,1284,1524,1592,1236,1636,1469,1731,1339,1,168524
2023-11-26,14986,54500,34136,25733,22377,28280,51291,32226,9654,23057,23152,31168,21341,17066,19735,23332,16139,30502,21333,28899,19621,1010,3120,2201,1667,1576,1795,2711,1543,599,1608,1550,1879,1340,1070,1378,1501,1142,1803,1503,1734,1227,1,129655
2023-11-27,15229,55274,40571,24439,23393,31056,48194,26040,9456,26814,25162,30698,24812,16858,20741,25904,15677,30454,21714,27040,21222,1027,3864,2654,1801,1707,2292,3060,1558,632,1925,1817,1930,1924,1238,1567,1816,1018,1662,1777,1768,1440,0,175920
2023-11-28,16268,55594,37877,26856,22623,30414,51673,27224,9123,25154,26873,30940,24200,17717,19094,27312,15766,30516,22737,28757,21455,1091,3398,2786,1824,1713,2070,3231,1546,649,1908,1728,2114,1647,1358,1375,1805,1126,1639,1610,1921,1331,0,178410
2023-11-29,15457,56858,41650,24513,23016,30730,53210,30167,9298,27424,25942,31063,23587,18140,19597,26307,15919,32017,22407,28501,22201,1110,3631,3120,1663,1588,2279,2907,1570,616,2014,1920,2047,1715,1373,1538,1728,1286,1771,1777,1866,1489,0,178140
2023-11-30,14614,60929,39297,25384,23286,30613,57542,32566,9272,25647,28695,29794,24041,18398,20573,25308,16599,33802,24764,29151,24099,993,4056,2942,1820,1555,2358,3133,1733,643,1915,1975,2074,1715,1471,1577,1705,1190,1984,1774,2030,1541,0,172245
2023-12-01,15553,62923,40155,25059,24440,31682,55647,33093,8998,26310,28831,30373,24285,17194,21313,25401,16265,34078,24078,29205,24708,1081,3761,3456,1857,1613,2379,3241,1627,526,1894,1882,2069,1728,1402,1474,1665,1231,1814,1754,2062,1535,0,188234
2023-12-02,13519,58667,38975,24739,23815,30061,53860,32230,9732,25206,25944,30698,23568,16261,22613,24324,15979,34030,20390,28473,21173,841,3346,2419,1588,1688,2191,2853,1589,636,1634,1512,1879,1572,1193,1505,1515,1214,1777,1555,1708,1302,1,165716
2023-12-03,14102,54705,33103,25218,23826,29020,52121,30269,9254,24469,24694,30790,20985,16300,20317,24024,16223,29361,22018,28974,20491,914,3043,2198,1603,1613,1824,2991,1574,580,1481,1639,1872,1463,1068,1315,1505,1099,1771,1532,1731,1305,1,124364
2023-12-04,14991,63264,39531,25510,23473,31362,55097,32659,9501,26374,27946,32658,24429,17957,23436,21481,18064,33668,22316,29491,20776,1114,3895,3276,1922,1530,2229,2922,1795,636,1978,1937,2242,1908,1430,1687,1711,1279,1944,1719,1950,1403,0,176939
2023-12-05,14215,61622,38441,24988,23814,31290,52932,30147,9036,27089,29218,31423,24189,18077,22179,22583,17393,32076,21539,27948,22127,989,3773,2878,1793,1594,2214,2974,1656,649,1958,2014,2225,1749,1411,1558,1676,1231,1840,1593,1863,1532,0,181165
2023-12-06,15348,58999,41926,26923,23639,33436,53292,30299,9998,27035,30476,33109,26322,18877,20300,25675,17574,31875,22602,28563,21502,1096,3862,3281,2035,1640,2198,2940,1606,724,1822,2078,2112,1949,1500,1495,1711,1222,1757,1653,1803,1509,0,181385
2023-12-07,15290,56182,41072,24787,23733,31782,50510,28455,8885,25842,29297,29021,24396,17542,21347,24723,16330,29739,22327,27475,21414,1050,3660,3055,1772,1603,2300,3045,1574,563,1927,2026,1980,1718,1399,1522,1709,1121,1624,1549,1886,1480,0,181696
2023-12-08,16368,58437,38281,26051,24178,30212,51702,25745,9480,25955,28003,30085,24426,17923,22419,21939,17757,30505,21220,26454,21425,1027,3689,2719,1962,1659,2425,3203,1661,659,1771,1903,1992,1805,1490,1507,1617,1277,1685,1711,1780,1518,0,195633
2023-12-09,14566,48817,39728,24604,26680,29254,45346,23629,9348,25168,25322,29614,22224,18124,22185,23163,17763,22022,21581,26094,18115,933,2726,2556,1626,1837,2004,2648,1349,680,1798,1538,1860,1407,1260,1416,1590,1294,1414,1296,1647,1189,1,173773
2023-12-10,15637,44853,39948,22460,27051,26043,46285,24738,9606,23311,22906,30436,20201,17104,21706,22690,16170,22136,21030,28013,15911,1054,2772,2525,1375,1849,1653,2650,1471,632,1536,1558,1824,1421,1162,1394,1452,1090,1374,1351,1644,985,1,129508
2023-12-11,15513,52600,38386,23887,30524,28801,46982,24335,9279,27864,24267,31182,22504,17849,20368,22812,16326,24516,22218,27590,18184,960,3410,2767,1728,2083,2072,2811,1440,651,1918,1670,2078,1665,1246,1548,1636,1145,1642,1477,1722,1423,0,163006
2023-12-12,15427,52766,40391,22782,29699,27237,49600,24155,8753,29705,23869,30056,22878,18546,20908,22257,17111,26697,22074,28259,19140,1075,3410,3084,1670,2095,1951,2949,1452,599,1946,1711,1925,1757,1567,1474,1572,1157,1812,1679,1731,1492,0,179826
2023-12-13,16445,52534,39109,24733,30393,29976,45067,25445,8690,28535,24041,30974,22885,18385,20812,22321,17580,29018,22394,27510,20421,1131,3413,2916,1682,2122,2020,2667,1488,591,1975,1728,2035,1620,1661,1529,1561,1265,1644,1745,1777,1446,0,183750
2023-12-14,15057,54589,38984,23326,29874,28050,48996,23701,9127,30333,25276,29889,22324,18085,22318,21049,16757,27731,20383,27186,19444,1069,3420,3036,1789,2081,2039,3001,1502,684,2266,1807,1822,1688,1514,1572,1505,1142,1754,1719,1829,1521,0,171311
2023-12-15,14914,53736,38329,23551,30169,26813,49303,24278,8745,30157,23431,30671,21994,18300,20644,22634,17214,26823,21886,28609,19268,1077,3530,2738,1544,2064,1981,3291,1486,660,1922,1678,1992,1688,1574,1464,1498,1150,1682,1593,1765,1521,0,178581
2023-12-16,13384,54869,36658,23457,31115,28260,46566,25718,9418,29105,22845,29995,21148,18951,22048,22657,15827,30797,22536,27091,22411,877,3163,2405,1707,1989,2047,2638,1512,657,1997,1387,1805,1304,1298,1483,1503,1152,1748,1469,1693,1443,1,176630
2023-12-17,13320,62761,37081,23101,28871,28926,52791,35651,9288,26935,23639,32316,22675,17652,22442,21903,16378,33076,24335,33154,20825,950,3432,2558,1538,1901,2028,2799,1898,622,1764,1589,2018,1663,1169,1584,1465,1104,1642,1665,1935,1264,1,120724
2023-12-18,14071,68213,39526,24243,38694,21860,58139,33858,9131,31153,28936,31010,24025,18850,20758,24724,17087,35819,25134,32450,23523,1037,3794,3185,1793,2500,1905,3498,1762,595,2196,2035,2191,1596,1476,1586,1812,1200,2007,1835,2125,1593,0,169484
2023-12-19,17193,60062,41008,23165,37209,23124,53310,32501,9135,31224,25827,31207,25236,18326,20281,24573,17047,35173,23297,30226,23841,1177,3720,3247,1912,2339,1801,2936,1690,568,2059,1877,2066,1832,1586,1447,1684,1200,2076,1691,2028,1506,0,177205
2023-12-20,14505,66053,38714,23990,32694,29220,57554,31318,9280,30262,30327,30905,24444,19546,20966,24485,17209,34788,25174,31247,24124,937,3934,2875,1661,2266,2108,3262,1678,641,2102,2026,1956,1910,1416,1610,1640,1152,2128,1800,1981,1549,0,179930
2023-12-21,15659,67828,40208,24663,33930,27482,63858,36964,9248,28811,31389,31436,25656,18617,21625,25263,17409,37468,24148,31828,24660,1031,4198,3043,1759,2256,1960,3291,1870,589,2004,2064,2162,1953,1562,1490,1905,1363,2186,1786,2209,1662,0,171461
2023-12-22,16322,69172,39952,25346,35179,30045,60494,37430,9324,27158,33449,31589,24812,18558,21806,24880,17701,36361,26559,32661,23980,1271,4169,2935,1726,2367,2125,3114,1932,634,1855,2220,2100,1889,1466,1654,1824,1159,2094,1823,2154,1547,0,186055
2023-12-23,15648,63364,34396,24894,34233,26686,61072,36454,9937,27113,29297,30577,26660,16775,21796,24977,17108,33058,25410,30673,23689,991,3305,2585,1820,2254,1688,3108,1766,684,1910,1886,1958,1778,1075,1459,1872,1212,1659,1630,1806,1394,1,168680
2023-12-24,14837,59009,40057,22875,31134,27734,54132,34681,9718,22885,30721,30778,24464,16725,22813,21573,16358,29837,26098,30589,22352,979,3029,2594,1446,2054,1916,2822,1718,641,1488,1846,1889,1715,1111,1466,1340,1015,1575,1659,1895,1365,1,149866
2023-12-25,14615,58411,37925,22694,32000,27140,56471,33696,9282,25345,28091,30052,26574,16709,22498,20034,17135,34362,22410,27579,23597,964,3468,2510,1615,1978,1747,2844,1762,660,1598,1632,1826,1647,1183,1447,1286,1210,1788,1457,1547,1351,1,159770
2023-12-26,14968,64978,40142,24195,32247,29317,56255,32768,10677,26704,33704,29918,26174,17865,21561,23484,17527,34062,24206,29390,23903,998,4039,2806,1747,2435,2079,3080,1870,699,1807,2374,1990,1859,1490,1457,1720,1241,1973,1780,2102,1575,0,182871
2023-12-27,15657,59140,41512,22982,32088,29335,53417,31073,9898,26401,32073,32905,25328,19427,23620,23676,18118,33620,23027,30412,22342,1102,3641,2993,1843,2225,2033,3047,1742,622,2026,2138,2220,1899,1361,1531,1645,1202,1941,1765,2033,1503,0,183114
2023-12-28,16943,59161,43322,23820,34241,30073,53046,31435,9809,27040,35432,34217,24035,20594,23792,23751,19022,30923,24869,29742,22971,1144,3768,3538,1782,2258,2196,3155,1814,580,1874,2290,2254,1845,1512,1574,1692,1277,1685,1754,2039,1538,0,180998
2023-12-29,17472,60991,39846,26087,33201,30739,56744,32846,10501,26640,36249,33718,25777,19802,23896,25979,18928,32293,23799,29469,22771,1135,3926,2916,1853,2440,2116,3072,1819,662,1903,2194,2383,2106,1536,1776,1843,1262,1725,1668,2039,1535,0,195432
2023-12-30,16331,56746,41906,26421,34240,30113,54113,32652,11677,28160,30456,34987,27100,20462,23291,25939,18964,32530,22485,27405,22689,995,2894,2731,1788,2235,1956,3007,1762,795,1903,1898,2287,1830,1466,1536,1983,1363,1881,1538,1840,1339,1,159740
2023-12-31,14479,53049,38132,22127,31676,26066,52218,27807,10206,21008,35651,27527,25225,17092,8582,25242,16920,32532,21814,26572,21891,952,3077,2405,1402,1964,1770,3066,1555,682,1380,2155,1661,1624,1123,1414,1567,1174,1832,1276,1650,1313,1,126818
2024-01-01,15527,53582,38765,23343,28843,27730,50178,29939,9562,24583,28877,30790,22943,16853,19046,25249,18262,31018,21583,31858,18603,943,3062,2453,1572,1857,1841,2682,1514,601,1517,1675,1910,1501,1085,1270,1501,1174,1817,1506,1765,1034,1,101092
2024-01-02,17629,55769,40078,40413,137,39995,52515,27324,10099,25754,31631,30397,23304,18050,23714,21830,17572,30798,22536,28756,21011,1261,3684,3005,2938,294,2425,3084,1721,639,1862,2081,2162,1626,1697,1706,1786,1212,1829,1630,1927,1503,0,167192
2024-01-03,16884,59374,43962,40840,0,40525,55492,589,38185,26898,29204,31700,24495,19511,21007,25442,17530,31980,23250,28959,23315,1162,3641,3422,3110,0,2870,3080,893,2244,1766,2287,2474,1703,1512,1435,1749,1243,1944,1691,1958,1380,0,166544
2024-01-04,16021,59139,42979,22625,30887,28931,54492,0,40428,27443,31225,30202,23997,18765,21766,24924,17222,31961,23265,30117,22424,1260,3974,2981,1571,2244,2114,3003,0,2185,1997,2177,2155,1753,1750,1644,1820,1162,1696,1791,2033,1313,0,171157
2024-01-05,17343,60583,38747,24806,32553,28922,56218,0,40590,27728,32290,32804,24471,20285,21028,25770,17582,32360,22851,28984,22325,1139,3792,3060,1828,2333,1891,3176,0,2294,1913,2402,2366,1895,1517,1464,1724,1294,1889,1809,1961,1449,0,181710
2024-01-06,18610,49159,37230,24256,30085,28310,54116,31443,10862,25956,27350,30100,24293,18252,22064,24360,17274,31299,21444,28448,21205,1146,3024,2246,1697,2095,1772,3001,1574,824,1759,1783,1870,1613,1289,1586,1649,1210,1636,1287,1826,1267,1,160806
2024-01-07,16668,53681,38523,24123,27838,27628,53121,31703,9372,24099,26611,31742,21889,17411,19594,24521,17783,31731,21666,32411,19026,1110,3197,2587,1584,1849,1814,2863,1586,609,1560,1906,1896,1580,1200,1358,1572,1205,1774,1590,1886,1210,1,113665
2024-01-08,15784,65926,41370,22786,32353,28253,58534,34484,9668,28069,29925,30933,24401,19053,22985,23640,17710,32690,25571,30248,24339,1331,3984,2952,1766,2129,1937,3264,1872,599,1958,2057,2237,1709,1411,1634,1778,1207,1889,1812,2134,1394,0,163570
2024-01-09,16636,64214,42103,22644,33075,28800,56906,35166,10023,29206,28495,33162,24481,19993,21604,25359,17333,33681,23992,31222,22536,1129,3931,3262,1734,2291,2020,2953,1802,722,2066,2038,2182,1745,1459,1567,1922,1212,1987,1711,2074,1521,0,167170
2024-01-10,15426,62876,38819,23312,32665,30997,48888,29246,13251,27691,29011,34101,23859,20033,22273,24437,18038,31891,24609,31846,21262,1056,3912,3173,1716,2369,2279,2951,1630,851,1949,2191,2366,1584,1606,1589,1753,1222,1788,1826,2045,1411,0,171533
2024-01-11,15953,61439,41623,23436,32866,29133,55428,30881,12598,28151,29678,31557,26416,18528,22538,24259,17325,33959,22749,30302,21526,1052,3770,2978,1826,2264,2124,3064,1579,829,1860,2009,2309,1916,1488,1649,1793,1238,1947,1869,2074,1443,0,174385
2024-01-12,16577,58982,40977,23685,31069,28816,52204,29692,13107,26914,29309,32511,25690,19240,21702,20783,19699,32232,23255,30003,21959,1104,3850,3302,1851,2193,2168,3105,1663,808,1968,2292,2306,1941,1315,1663,1394,1344,1780,1869,2025,1365,0,183869
2024-01-13,16753,55742,34465,24217,31066,29303,50144,29617,12646,25828,28138,29139,25009,17526,20996,24668,16477,31520,22469,27037,22761,1129,2954,2268,1711,2145,2018,2698,1488,753,1553,2028,2004,1644,1294,1510,1644,1092,1662,1365,1780,1287,1,164962
2024-01-14,17627,52199,38320,23570,28807,28980,50479,29160,11631,23367,29106,31233,20806,17672,23692,21828,15907,29686,21443,30519,18836,1127,2904,2635,1534,2129,1895,3064,1618,705,1558,1783,1867,1515,1243,1382,1365,1140,1788,1460,1794,1152,1,119604
2024-01-15,16593,57482,41315,23273,31745,28801,54871,28784,13205,26330,29836,30808,23970,18283,21413,24468,16393,32024,24538,30459,22419,1217,4006,3264,1642,2164,2198,3091,1543,891,1850,1927,2026,1653,1500,1483,1661,1147,1837,1800,2065,1538,0,168136
2024-01-16,16452,61468,41417,22416,32110,28482,55161,33101,10302,26704,29903,31528,24206,26898,175,36835,17428,35111,21990,30393,22335,1252,3996,3475,1651,2216,2181,2993,1786,701,2054,2074,2328,1932,2126,353,2774,1205,1941,1627,2097,1351,0,172827
2024-01-17,15918,61969,41285,26104,33595,30824,54721,32315,10251,28780,30373,33335,25177,29518,0,38668,17846,32532,24371,30074,22699,1044,3874,3401,1741,2168,2346,3043,1730,751,1970,2011,2294,1693,1939,0,2604,1265,1823,1846,2045,1371,0,167894
2024-01-18,16231,58542,39149,24156,32269,31135,49804,30179,10047,27716,29897,30884,25530,18597,21891,24914,16748,31216,23198,28009,22818,1194,3547,3276,1701,2435,2360,2964,1622,616,1896,1982,2256,1741,1567,1440,1726,1231,1780,1601,1907,1498,0,159498
2024-01-19,15103,56682,39784,22829,30770,28736,52259,28192,9379,25337,27907,31492,24251,18017,22449,21661,17332,31368,22674,30470,20983,996,3670,2818,1709,1991,2070,3055,1613,710,1814,2206,2086,1711,1394,1430,1580,1279,1679,1584,1961,1466,0,183381
2024-01-20,16552,47804,37852,22051,30650,26777,49897,26078,9134,26135,27211,28289,24430,17158,20370,21826,18906,30964,21637,27834,22069,1077,2952,2609,1655,2024,1895,2830,1505,612,1692,1774,1762,1557,1178,1426,1634,1219,1780,1446,1702,1365,1,148681
2024-01-21,18216,46131,38185,22229,26969,25899,49260,25238,8922,25847,25715,29335,20186,15874,21416,25109,16723,30624,19994,30954,18598,1069,2765,2285,1359,1960,1605,3045,1469,564,1618,1510,1702,1321,994,1284,1526,1054,1670,1296,1719,999,1,124294
2024-01-22,14185,63293,38139,24572,30897,30339,54789,32795,9357,26248,30740,30007,24449,18758,21615,41456,216,33067,25345,31023,23581,922,3751,3204,1763,2122,2104,2909,1759,616,1843,1961,1994,1722,1481,1366,2705,446,1889,1748,1979,1564,0,163127
2024-01-23,16324,67567,39913,24352,32789,30180,60316,36643,9975,26027,32536,29918,25814,19009,21070,43554,0,35467,25330,30131,25489,1091,4128,3103,1624,2381,2043,3126,1879,666,1824,2117,2076,1878,1738,1402,3168,0,2085,1964,2117,1578,0,154005
2024-01-24,16145,67487,39565,23186,32256,29478,60930,37301,9490,26564,30334,29847,28523,18032,20695,25654,16463,35096,26346,30764,25295,1033,4080,2707,1688,2024,2304,3243,1865,626,1925,2239,1932,2014,1464,1486,1716,1171,2025,1812,2212,1578,0,158718
2024-01-25,15534,68709,38511,24908,34093,28788,59685,36784,9892,27268,29554,31268,26851,18067,21275,25879,16745,35669,24349,32331,23520,1010,3878,3082,1745,2356,1930,3093,1954,622,1814,2220,2042,1958,1296,1579,1964,1198,1938,1777,2004,1552,0,164506
2024-01-26,16679,62587,41257,24168,32868,28253,56803,34353,10126,27637,29923,31529,26308,17971,23488,23070,17547,34396,23445,29912,23613,1085,4056,2894,1780,2356,2018,2989,1812,674,1822,2160,2258,1912,1421,1627,1690,1241,1932,1763,2117,1492,0,186381
2024-01-27,17188,56726,37871,24349,31859,30080,50579,32816,10427,26759,28270,30193,24887,18031,21963,23655,17345,31257,24044,28895,21912,1092,3067,2887,1638,2202,2099,2723,1709,772,1697,1963,1874,1684,1265,1517,1672,1169,1604,1518,1820,1325,1,163400
2024-01-28,17530,52556,40223,22290,30543,27318,52863,32038,9169,26077,27182,30102,22646,17325,19576,24840,17492,32617,21743,29593,21401,1233,2837,2489,1588,1884,1713,2986,1680,570,1769,1846,1913,1461,1162,1361,1544,1202,1860,1472,1832,1296,1,122645
2024-01-29,19215,61067,40337,24125,32646,29758,54520,34261,9684,27913,29295,30624,25817,18475,21565,25835,16944,35122,23314,29848,23235,1321,3977,3067,1837,2283,2264,3028,1819,591,1882,1987,2086,1872,1442,1606,1715,1183,1993,1702,2088,1515,0,169852
2024-01-30,15995,63440,41161,26970,34132,30114,56536,34278,10808,29170,32051,35932,25123,20779,23750,25828,18842,32265,24388,31588,21900,991,4082,3180,1958,2506,2062,3057,1951,730,2066,2162,2443,1832,1358,1644,1761,1363,1757,1711,2085,1564,0,171115
2024-01-31,17305,57098,38937,25239,32215,30174,52747,29873,11245,28115,29511,32164,26449,19962,21605,26515,18277,31522,21831,27585,21727,1114,3780,2981,1828,2306,2110,2989,1759,791,1786,2129,2208,2028,1560,1716,1818,1210,1809,1495,1938,1273,0,170282
2024-02-01,16048,57453,40978,24615,32350,29699,49771,30880,11335,30846,31199,31719,25704,19048,21684,25979,16847,30892,22986,28695,22078,1117,3605,3108,1668,2191,2298,2972,1913,689,2105,2225,2270,1743,1534,1562,1793,1282,1745,1621,1944,1457,0,172422
2024-02-02,15794,54683,41441,22853,30020,29823,48510,28142,9430,29999,31626,30661,23928,18498,21521,24167,17387,32566,22002,29624,21789,1075,3614,3384,1859,2323,1933,2861,1675,616,1838,2256,2110,1594,1392,1531,1715,1104,1788,1555,1924,1397,0,184164
2024-02-03,16814,49873,34271,23861,28936,26650,50186,29187,9324,26406,27439,28557,24276,17135,21229,22712,18214,31240,21038,27914,20892,1048,2904,2273,1596,1924,1816,2874,1541,680,1598,1702,1853,1622,1262,1622,1594,1150,1716,1397,1740,1319,1,158960
2024-02-04,16036,46895,40400,21896,28524,27065,46579,24517,9059,28362,25397,28552,21530,16078,20299,25655,15131,29063,20981,29550,19711,962,2801,2522,1344,2154,1757,2565,1637,553,1702,1531,1735,1298,1087,1250,1555,1018,1449,1270,1745,1230,1,121445
2024-02-05,15218,57805,38421,22872,30833,28252,51344,27372,9777,26189,32628,29658,25446,16891,21018,25369,16239,30681,24592,30546,21404,1250,3602,3096,1653,2083,2039,3084,1644,597,1858,2081,1994,1724,1428,1397,1791,1246,1711,1699,1898,1515,0,160698
2024-02-06,16241,61945,38532,23773,30947,29285,52324,30543,9694,25855,33199,32977,24494,17592,20441,24920,16811,33325,22776,29648,23227,1171,3823,3041,1705,2014,2022,2909,1603,737,1795,2338,2131,1891,1387,1428,1801,1169,1840,1843,1979,1388,0,181832
2024-02-07,17416,56451,43163,22864,30644,29430,52733,31633,9380,26664,28670,34214,23245,19697,20160,25564,16627,31550,24052,30149,22212,1100,3619,3154,1622,2033,1972,2857,1625,584,1841,1927,2174,1588,1469,1438,1761,1154,1696,1740,1973,1405,0,185452
2024-02-08,16518,60053,38383,25344,31788,28885,53861,33004,9708,26595,30149,33614,24141,19819,22247,24343,18695,30619,24350,29447,21905,1210,3586,3144,1916,2198,1981,3043,1764,680,1781,2114,2340,1628,1483,1613,1668,1222,1653,1754,2010,1437,0,192292
