date,"1호선
설화명곡
(1_1_total_kwh)","1호선
월배기지
(1_2_total_kwh)","1호선
서부정류장
(1_3_total_kwh)","1호선
반월당
(1_4_total_kwh)","1호선
신천
(1_5_total_kwh)","1호선
방촌
(1_6_total_kwh)","1호선
안심
(1_7_total_kwh)","2호선
문양기지
(2_1_total_kwh)","2호선
대실
(2_2_total_kwh)","2호선
성서산단
(2_3_total_kwh)","2호선
죽전
(2_4_total_kwh)","2호선
반고개
(2_5_total_kwh)","2호선
대구은행
(2_6_total_kwh)","2호선
만촌
(2_7_total_kwh)","2호선
대공원
(2_8_total_kwh)","2호선
사월
(2_9_total_kwh)","2호선
영남대
(2_10_total_kwh)","3호선
칠곡기지
(3_1_total_kwh)","3호선
팔달시장
(3_2_total_kwh)","3호선
남산
(3_3_total_kwh)","3호선
범물기지
(3_4_total_kwh)","1호선
설화명곡
(1_1_peak_kw)","1호선
월배기지
(1_2_peak_kw)","1호선
서부정류장
(1_3_peak_kw)","1호선
반월당
(1_4_peak_kw)","1호선
신천
(1_5_peak_kw)","1호선
방촌
(1_6_peak_kw)","1호선
안심
(1_7_peak_kw)","2호선
문양기지
(2_1_peak_kw)","2호선
대실
(2_2_peak_kw)","2호선
성서산단
(2_3_peak_kw)","2호선
죽전
(2_4_peak_kw)","2호선
반고개
(2_5_peak_kw)","2호선
대구은행
(2_6_peak_kw)","2호선
만촌
(2_7_peak_kw)","2호선
대공원
(2_8_peak_kw)","2호선
사월
(2_9_peak_kw)","2호선
영남대
(2_10_peak_kw)","3호선
칠곡기지
(3_1_peak_kw)","3호선
팔달시장
(3_2_peak_kw)","3호선
남산
(3_3_peak_kw)","3호선
범물기지
(3_4_peak_kw)","휴일
(is_holiday)","승객수
(passengers)"
2023-01-15,13244,55469,33767,25715,29757,29511,47233,32379,8402,24725,25033,30331,18080,19190,29287,15997,19795,27989,22753,31688,18207,852,3041,2249,1578,1899,2087,2513,1615,515,1740,1548,1889,1116,1246,1843,1154,1378,1460,1472,1863,1161,1,110085
2023-01-16,16416,61393,41449,26748,30763,31696,54966,34489,8741,32241,24862,32645,21206,20849,29255,18708,20225,31650,25939,32222,22113,1150,3883,2762,1878,2087,2400,3272,1788,566,2357,1663,2126,1576,1454,2026,1302,1498,1716,1794,2111,1446,0,176984
2023-01-17,18641,62152,38801,27308,32714,29212,58240,35930,8804,33455,24593,32170,23351,19320,30045,18398,22031,33261,26687,32440,22056,1212,3638,2995,2068,2333,1981,3195,1894,538,2244,1800,2282,1699,1361,2093,1373,1464,1797,1826,2186,1408,0,173712
2023-01-18,17804,62801,40565,26141,32963,31470,55404,34537,9105,33327,25928,34090,21935,21130,29089,19668,20509,32862,25322,32135,22661,1231,4082,2695,1908,2431,2158,2997,1764,576,2472,1644,2285,1684,1442,2023,1524,1610,1812,1780,2220,1452,0,176584
2023-01-19,17472,63670,42221,26883,33026,31362,57064,34417,9250,34463,26508,32545,24799,19297,30638,19853,19831,33199,25452,31181,23023,1231,3905,2806,1895,2241,2052,3162,1750,586,2338,2026,2302,1668,1445,2059,1599,1344,1817,1737,2091,1423,0,177644
2023-01-20,18029,61046,39695,26627,31516,30217,56352,34181,8684,34367,23609,33854,22494,20729,28508,19623,20473,32381,26361,32787,22021,1267,3655,2690,1880,2196,2041,3189,1723,532,2076,1742,2328,1617,1632,1944,1634,1366,1725,1849,2174,1391,0,188911
2023-01-21,15723,58432,41163,25473,31287,27830,58402,35146,8439,31645,23921,31899,21072,19637,30735,19436,18764,31647,25749,33340,21655,1023,3151,2820,1576,2181,1955,3084,1910,486,1860,1517,1942,1392,1325,1901,1306,1284,1596,1616,1918,1227,1,104710
2023-01-22,17431,58638,38116,26876,29088,28032,57280,32137,8376,33292,22964,31516,20314,18503,31340,18753,19079,30749,24337,33191,21465,1173,3238,2530,1601,1855,2037,3060,1642,478,1939,1483,1894,1304,1174,1951,1204,1145,1544,1541,1987,1126,1,65314
2023-01-23,17464,55955,37805,25485,30066,30441,50564,33280,8451,29612,23245,32341,19968,18726,29741,17868,20005,29277,24081,29893,21257,1083,2918,2611,1724,2168,2141,2732,1834,563,1795,1646,1884,1375,1303,1934,1267,1294,1555,1552,1757,1112,1,108185
2023-01-24,15489,65689,37664,26854,32967,30308,59336,36793,8306,34057,22612,32342,22145,17570,29958,18562,19813,33828,25348,34534,20390,1043,3576,2772,1839,2262,1885,3498,2014,488,2076,1519,2081,1507,1097,1874,1386,1298,1659,1760,2128,1290,1,101443
2023-01-25,18425,70933,42593,26663,34706,30141,66210,40589,8931,35197,26531,32365,25213,31233,218,35970,20923,36677,29232,32710,25070,1319,4229,3132,1845,2511,2346,3414,2098,563,2338,1867,2028,1922,1968,528,2663,1286,1863,2028,2085,1480,0,151941
2023-01-26,18915,65419,42496,26074,34641,29347,63255,38593,9336,35232,26695,32486,26578,30224,0,37566,21501,34297,28527,31742,24922,1323,3876,2930,1786,2302,2350,3396,1982,607,2417,1898,2110,1872,1920,0,2759,1423,1958,2022,2143,1460,0,166158
2023-01-27,17343,64708,42939,26435,34093,31667,57856,36778,9567,34969,26801,32441,25617,19178,29234,20470,20646,34522,28091,34320,22315,1139,3919,3026,1818,2325,2229,3268,1824,557,2290,1915,2220,1780,1361,1915,1373,1418,1742,1996,2174,1480,0,177502
2023-01-28,15883,62662,39012,26291,33239,29843,60256,38075,9045,31901,25267,33321,20993,20360,30985,17892,21028,32793,25752,32532,22841,1085,3528,2491,1607,2118,2129,3037,1826,530,1937,1603,2004,1496,1411,2021,1354,1481,1668,1650,1993,1299,1,154870
2023-01-29,14905,60611,37531,26095,30321,26129,59660,34720,8808,34228,20010,32487,21323,20269,28745,15913,21330,30792,24694,33240,20176,914,3106,2429,1749,2129,1655,3281,1738,515,2201,1260,1997,1392,1356,1747,998,1411,1567,1552,1930,1210,1,118212
2023-01-30,15494,66884,38263,26561,32752,29480,59147,34439,9062,34457,25305,31877,23797,19344,30351,18844,20824,31459,27752,31835,22162,1217,4111,3005,1857,2358,2083,3235,1848,540,2446,1949,2220,1793,1301,1999,1432,1430,1745,1840,2192,1411,0,171841
2023-01-31,17690,62882,41834,26412,33635,29795,57287,35450,9550,31708,26917,34909,22233,21344,28774,20230,20523,32445,25433,32963,21241,1164,4051,3031,1937,2200,1976,3241,1781,612,2110,1862,2364,1517,1634,2066,1417,1373,1777,1763,2180,1345,0,171102
2023-02-01,17702,62026,41176,27555,33135,30840,55364,34207,9474,30575,27932,33739,22609,19501,31203,19453,20344,30885,26198,32530,20063,1146,3682,2942,1980,2189,2054,3036,1735,611,2042,2047,2354,1546,1411,2038,1371,1421,1644,1814,2143,1178,0,185204
2023-02-02,16826,61268,44300,25407,31907,29968,55739,34483,9326,30916,27878,33729,22472,19529,31032,19029,20386,32225,25116,33222,21423,1083,3948,3067,1774,2479,2043,3001,1778,628,2059,1937,2179,1636,1346,2035,1515,1514,1765,1742,2212,1408,0,171530
2023-02-03,16390,63878,42683,25420,33020,30208,55513,34378,9269,30074,29222,34316,21113,21101,28681,19759,20426,33097,24160,32531,20706,1025,3876,3168,1849,2225,2337,3101,1730,559,1997,2021,2196,1538,1574,1927,1459,1474,1711,1734,2079,1368,0,185902
2023-02-04,15682,60136,38868,26667,31036,28595,59145,34369,9034,30005,28241,32112,22093,20597,29237,20195,20999,30885,24543,30747,20578,1006,3254,2482,1667,2031,1960,3233,1704,574,1913,1762,2107,1511,1358,1975,1551,1387,1549,1682,1915,1189,1,161411
